tweetDate,twitterId,handle,text,profileUrl,name,tweetLink,timestamp,query
Wed Apr 12 21:10:00 +0000 2023,1299007622968901637,Not_the_Bee,Nearly half of Americans say it's unlikely they would buy an electric vehicle as their next car https://t.co/xKYfsGmBcc,https://twitter.com/Not_the_Bee,Not the Bee,https://twitter.com/Not_the_Bee/status/1646259394089463809,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:08:28 +0000 2023,1578409846566801408,DonBob02276165,@HeavenScent88 They want more. They want our Constitution shredded. They want to enslave you with digital currency. They want you driving an electric vehicle. They are here to help you become an unquestioning  dependent and moron.,https://twitter.com/DonBob02276165,PATRIOTIC VETERAN,https://twitter.com/DonBob02276165/status/1646259010855747585,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:07:13 +0000 2023,2878610614,Ciungu21,"Did you know @goChargeHQ is an innovative company that is leading the way in sustainable energy solutions. With a focus on developing electric vehicle charging infrastructure and power bank stations.
https://t.co/F3j12SpzkG",https://twitter.com/Ciungu21,Mihai C,https://twitter.com/Ciungu21/status/1646258693762064384,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:07:16 +0000 2023,1586064905735643136,Swordof09985277,@SenMarkey @EPA The day you have to be in a personal electric vehicle or public transportation will be the day I'll make my conversion until then you are a hypocritical bleep hole.,https://twitter.com/Swordof09985277,Sword of Truth,https://twitter.com/Swordof09985277/status/1646258706579947523,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:09:00 +0000 2023,960215331192147968,trsmiami,"Fight !  damn it !  File Suits-one a day if necessary !  This will kill the middle class.
Biden unveils toughest-ever car emissions rules in bid to force electric vehicle purchases https://t.co/1l57xXwRnx #FoxNews",https://twitter.com/trsmiami,Tom Spencer,https://twitter.com/trsmiami/status/1646259144242995203,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:06:39 +0000 2023,1225898684765831168,NEVERBOW,The market is in no way shape or form dictating the rise of the electric vehicle we don’t have power stations they don’t work in cold weather and they’re not reliable and multiple batteries have exploded already Geraldo Rivera just lied again #TheFive,https://twitter.com/NEVERBOW,P K 🏅,https://twitter.com/NEVERBOW/status/1646258552405622786,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:08:41 +0000 2023,1510959062225203204,DyAnn63057174,"@OccupyDemocrats Can the President order everyone to buy an electric vehicle 🚗??? They cost about $70,000 and a gas one costs around $29,000 !! Who does he think he is a dictator?? Yes he does.!! China 🇨🇳 will make the batteries that cost around $30,000 to $50,000 ! They will use dirty coal !",https://twitter.com/DyAnn63057174,DyAnn,https://twitter.com/DyAnn63057174/status/1646259065226403842,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:04:50 +0000 2023,1598880945536393218,scooter3743,White House won't say whether Biden owns an electric vehicle | Washington Examiner https://t.co/UOVl2KbbC0,https://twitter.com/scooter3743,Scotty,https://twitter.com/scooter3743/status/1646258093523718145,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:02:30 +0000 2023,1525998427330453504,Yupoid1,@CNN And this country isn't ready for half of us to buy an electric vehicle...,https://twitter.com/Yupoid1,Yupoid,https://twitter.com/Yupoid1/status/1646257507814240256,2023-04-14T18:03:40.352Z,"""electric vehicle"""
Wed Apr 12 21:09:23 +0000 2023,1637211835148410881,RaneyRN,Oh @GeraldoRivera  you pompous a** I cannot stand the way you boast every day on the Five. An EV Bentley 🙄🙄🙄. Your boat. Your trips. You bash Trump and his economy yet flaunt your wealth. Nobody can afford an electric vehicle 😡😡😡,https://twitter.com/RaneyRN,Deborah W. MAGA American FJB,https://twitter.com/RaneyRN/status/1646259241080987648,2023-04-14T18:03:40.352Z,"""electric vehicle"""
